"","N_SQ_AD","college"
"875",750110652,1
"876",750113777,140
"877",750109963,140
"878",750113774,140
"879",750115400,75
"880",750171941,1
"881",750118780,193
"882",750145791,1
"883",750110482,1
"884",750117961,1
"885",750115405,75
"886",750111304,1
"887",750115800,189
"888",750115811,1
"889",750110087,1
"890",750142492,75
"891",750118156,1
"892",750115371,1
"893",750114929,1
"894",750117435,75
"895",750117942,1
"896",750110097,1
"897",750117963,1
"898",750117957,1
"899",750117458,140
"900",750117954,1
"901",750115399,75
"902",750111349,1
"903",750115403,75
"904",750117976,1
"905",750115395,75
"906",750115407,75
"907",750111474,75
"908",750117958,1
"909",750112579,140
"910",750117950,1
"911",750158742,75
"912",750117420,140
"913",750109967,140
"914",750115933,140
"915",750111301,1
"916",750153424,1
"917",750116256,140
"918",750109969,140
"919",750110654,1
"920",750111363,1
"921",750115392,75
"922",750110476,1
"923",750110483,1
"924",750115342,1
"925",750152196,75
"926",750117984,1
"927",750115408,75
"928",750142474,75
"929",750113784,140
"930",750108481,140
"931",750109976,140
"932",750115787,1
"933",750109972,140
"934",750177860,1
"935",750114947,1
"936",750114932,1
"937",750114938,1
"938",750142460,75
"939",750112585,140
"940",750110495,140
"941",750108869,140
"942",750115775,1
"943",750110098,1
"944",750117972,1
"945",750115801,189
"946",750108881,140
"947",750109977,140
"948",750115809,1
"949",750113737,140
"950",750112565,140
"951",750115931,140
"952",750117635,140
"953",750115855,189
"954",750110532,140
"955",750115359,1
"956",750114950,1
"957",750109970,140
"958",750117982,1
"959",750111346,1
"960",750113788,140
"961",750113779,140
"962",750158835,140
"963",750117990,1
"964",750110477,1
"965",750151721,1
"966",750117953,1
"967",750117970,1
"968",750112573,140
"969",750111309,1
"970",750150982,75
"971",750116272,140
"972",750115804,189
"973",750115380,1
"974",750115386,1
"975",750142475,75
"976",750115361,1
"977",750142471,75
"978",750118101,1
"979",750112578,140
"980",750109984,140
"981",750113769,287
"982",750110491,140
"983",750109965,140
"984",750117977,1
"985",750113778,140
"986",750109971,140
"987",750114971,1
"988",750113730,140
"989",750115793,189
"990",750111302,1
"991",750118287,1
"992",750110492,140
"993",750114933,1
"994",750110659,1
"995",750109619,1
"996",750112555,140
"997",750109973,140
"998",750110653,1
"999",750150961,140
"1000",750109982,140
"1001",750113775,140
"1002",750115394,75
"1003",750115376,1
"1004",750162626,1
"1005",750115355,1
"1006",750117945,1
"1007",750117949,1
"1008",750108873,140
"1009",750115788,1
"1010",750117987,1
"1011",750171725,1
"1012",750112582,140
"1013",750142495,75
"1014",750113780,140
"1015",750108878,140
"1016",750113743,140
"1017",750108874,140
"1018",750113790,140
"1019",750113770,287
"1020",750108880,140
"1021",750112587,140
"1022",750113766,287
"1023",750109975,140
"1024",750110499,140
"1025",750117425,140
"1026",750151635,140
"1027",750113785,140
"1028",750118153,1
"1029",750117993,1
"1030",750112554,140
"1031",750117998,1
"1032",750110658,1
"1033",750110494,140
"1034",750110651,1
"1035",750115393,75
"1036",750117940,1
"1037",750110500,140
"1038",750109964,140
"1039",750113768,287
"1040",750115398,75
"1041",750159183,1
"1042",750111356,1
"1043",750113772,287
"1044",750118158,1
"1045",750110484,1
"1046",750112546,140
"1047",750114953,1
"1048",750113773,140
"1049",750118246,1
"1050",750113746,140
"1051",750118103,1
"1052",750113776,140
"1053",750110490,140
"1054",750152200,140
"1055",750108877,140
"1056",750111354,1
"1057",750150369,1
"1058",750108876,140
"1059",750113786,140
"1060",750117994,1
"1061",750110081,1
"1062",750113763,287
"1063",750116277,140
"1064",750113771,287
"1065",750109974,140
"1066",750110489,140
"1067",750155704,140
"1068",750142505,75
"1069",750108882,140
"1070",750142489,75
"1071",750114934,1
"1072",750112310,140
"1073",750117964,1
"1074",750118289,1
"1075",750117974,1
"1076",750117973,1
"1077",750113764,287
"1078",750113783,140
"1079",750110086,1
"1080",750117979,1
"1081",750115409,75
"1082",750118093,1
"1083",750111345,1
"1084",750117952,1
"1085",750117421,140
"1086",750117997,1
"1087",750111305,1
"1088",750108870,140
"1089",750109981,140
"1090",750151762,1
"1091",750111303,1
"1092",750111314,1
"1093",750111319,1
"1094",750115798,189
"1095",750110089,1
"1096",750153425,1
"1097",750111316,1
"1098",750118107,1
"1099",750115350,1
"1100",750115773,1
"1101",750059403,457
"1102",750065250,4
"1103",750063222,4
"1104",750061869,457
"1105",750065091,457
"1106",750065441,67
"1107",750060088,569
"1108",750061857,457
"1109",750063177,4
"1110",750061864,457
