"","X","libelle.complet","index","libelle","numero","rue","arrondissement","N_SQ_AD"
"130",131,"COLLÈGE MOLIERE 71 RUE DU RANELAGH - PARIS 16",131,"COLLÈGE MOLIERE","71","RUE DU RANELAGH",16,750128194
"131",132,"ECOLE MATERNELLE 27 AVENUE DU PARC DES PRINCES - PARIS 16",132,"ECOLE MATERNELLE","27","AV DU PARC DES PRINCES",16,750126952
"132",133,"ECOLE ÉLÉMENTAIRE 23 AVENUE DU PARC DES PRINCES - PARIS 16",133,"ECOLE ÉLÉMENTAIRE","23","AV DU PARC DES PRINCES",16,750126950
"133",134,"COLLÈGE J DE LA FONTAINE 1 PLACE DE LA PORTE MOLITOR - PARIS 16",134,"COLLÈGE J DE LA FONTAINE","1","PL DE LA PORTE MOLITOR",16,750127900
"134",135,"COLLÈGE EUGENE DELACROIX 13/15 RUE EUGENE DELACROIX - PARIS 16",135,"COLLÈGE EUGENE DELACROIX","13/15","RUE EUGENE DELACROIX",16,750122076
"135",136,"COLLÈGE JANSON DE SAILLY 106 RUE DE LA POMPE - PARIS 16",136,"COLLÈGE JANSON DE SAILLY","106","RUE DE LA POMPE",16,750127804
"136",137,"ECOLE MATERNELLE 38 RUE DES PERCHAMPS - PARIS 16",137,"ECOLE MATERNELLE","38","RUE DES PERCHAMPS",16,750127339
"137",138,"ECOLE ÉLÉMENTAIRE 17-23 RUE BOILEAU - PARIS 16",138,"ECOLE ÉLÉMENTAIRE","17-23","RUE BOILEAU",16,750119921
"138",139,"ECOLE MATERNELLE 24 RUE DELAMBRE - PARIS 14",139,"ECOLE MATERNELLE","24","RUE DELAMBRE",14,750100445
"139",140,"ECOLE ÉLÉMENTAIRE 24 RUE DELAMBRE - PARIS 14",140,"ECOLE ÉLÉMENTAIRE","24","RUE DELAMBRE",14,750100445
"140",141,"ECOLE MATERNELLE 10 RUE FRANCOIS COPPEE - PARIS 15",141,"ECOLE MATERNELLE","10","RUE FRANCOIS COPPEE",15,750111949
