"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"3787","2935","RUE DU","DOUANIER ROUSSEAU",0,"",9999,"","i","Ecole maternelle 77 RUE DE LA TOMBE ISSOIRE - PARIS 14"
"3788","2935","RUE DU","DOUANIER ROUSSEAU",0,"",9999,"","p","Ecole maternelle 77 RUE DE LA TOMBE ISSOIRE - PARIS 14"
"3789","2936","BOULEVARD DE","DOUAUMONT",0,"",9999,"","i","Ecole élémentaire 5 RUE MARGUERITE LONG - PARIS 17"
"3790","2936","BOULEVARD DE","DOUAUMONT",0,"",9999,"","p","Ecole élémentaire 5 RUE MARGUERITE LONG - PARIS 17"
"3791","2939","RUE","DOUDEAUVILLE",0,"",23,"","i","Ecole maternelle 53B RUE MARX DORMOY - PARIS 18"
"3792","2939","RUE","DOUDEAUVILLE",23,"",79,"","i","Ecole maternelle 27 RUE EMILE DUPLOYE - PARIS 18"
"3793","2939","RUE","DOUDEAUVILLE",79,"",9999,"","i","Ecole maternelle 8 RUE CHRISTIANI - PARIS 18"
"3794","2939","RUE","DOUDEAUVILLE",0,"",28,"","p","Ecole maternelle 53B RUE MARX DORMOY - PARIS 18"
"3795","2939","RUE","DOUDEAUVILLE",28,"",92,"","p","Ecole maternelle 27 RUE EMILE DUPLOYE - PARIS 18"
"3796","2939","RUE","DOUDEAUVILLE",92,"",9999,"","p","Ecole maternelle 3 RUE FERDINAND FLOCON - PARIS 18"
"3797","2943","RUE DU","DRAGON",0,"",9999,"","i","Ecole maternelle 40 RUE MADAME - PARIS 06"
"3798","2943","RUE DU","DRAGON",0,"",9999,"","i","Ecole maternelle 16 RUE SAINT BENOIT - PARIS 06"
"3799","2943","RUE DU","DRAGON",0,"",9999,"","p","Ecole maternelle 40 RUE MADAME - PARIS 06"
"3800","2943","RUE DU","DRAGON",0,"",9999,"","p","Ecole maternelle 16 RUE SAINT BENOIT - PARIS 06"
"3801","2944","RUE","DRANEM",0,"",9999,"","i","Ecole maternelle 54 RUE SERVAN - PARIS 11"
"3802","2944","RUE","DRANEM",0,"",9999,"","p","Ecole maternelle 54 RUE SERVAN - PARIS 11"
"3803","2946","RUE DE","DREUX",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
