"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"10346","7026","SQUARE","PATENNE",0,"",9999,"","p","Ecole élémentaire 40 RUE DES PYRENEES - PARIS 20"
"10347","7028","PASSAGE DES","PATRIARCHES",0,"",9999,"","i","Ecole élémentaire 2 RUE PIERRE BROSSOLETTE - PARIS 05"
"10348","7028","PASSAGE DES","PATRIARCHES",0,"",9999,"","p","Ecole élémentaire 2 RUE PIERRE BROSSOLETTE - PARIS 05"
"10349","7029","RUE DES","PATRIARCHES",0,"",9999,"","i","Ecole élémentaire 2 RUE PIERRE BROSSOLETTE - PARIS 05"
"10350","7029","RUE DES","PATRIARCHES",0,"",9999,"","p","Ecole élémentaire 2 RUE PIERRE BROSSOLETTE - PARIS 05"
"10351","7031","VILLA","PATRICE BOUDARD",0,"",9999,"","i","Ecole élémentaire 41B RUE JEAN DE LA FONTAINE - PARIS 16"
"10352","7031","VILLA","PATRICE BOUDARD",0,"",9999,"","i","Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16"
"10353","7031","VILLA","PATRICE BOUDARD",0,"",9999,"","i","Ecole maternelle 18 RUE GROS - PARIS 16"
"10354","7031","VILLA","PATRICE BOUDARD",0,"",9999,"","p","Ecole élémentaire 41B RUE JEAN DE LA FONTAINE - PARIS 16"
"10355","7031","VILLA","PATRICE BOUDARD",0,"",9999,"","p","Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16"
"10356","7031","VILLA","PATRICE BOUDARD",0,"",9999,"","p","Ecole maternelle 18 RUE GROS - PARIS 16"
"10357","7032","RUE","PATRICE DE LA TOUR DU PIN",0,"",9999,"","i","Ecole élémentaire 51 BD DAVOUT - PARIS 20"
"10358","7032","RUE","PATRICE DE LA TOUR DU PIN",0,"",9999,"","p","Ecole élémentaire 51 BD DAVOUT - PARIS 20"
"10359","7033","RUE DES","PATURES",0,"",9999,"","i","Ecole élémentaire 41B RUE JEAN DE LA FONTAINE - PARIS 16"
"10360","7033","RUE DES","PATURES",0,"",9999,"","i","Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16"
"10361","7033","RUE DES","PATURES",0,"",9999,"","i","Ecole maternelle 18 RUE GROS - PARIS 16"
"10362","7033","RUE DES","PATURES",0,"",9999,"","p","Ecole élémentaire 41B RUE JEAN DE LA FONTAINE - PARIS 16"
"10363","7033","RUE DES","PATURES",0,"",9999,"","p","Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16"
"10364","7033","RUE DES","PATURES",0,"",9999,"","p","Ecole maternelle 18 RUE GROS - PARIS 16"
"10365","7034","RUE","PATURLE",0,"",9999,"","i","Ecole élémentaire 5 SQUARE ALAIN-FOURNIER - PARIS 14"
"10366","7034","RUE","PATURLE",0,"",9999,"","p","Ecole élémentaire 5 SQUARE ALAIN-FOURNIER - PARIS 14"
"10367","7035","RUE","PAUL ABADIE",0,"",9999,"","i","Ecole élémentaire 129 RUE BELLIARD - PARIS 18"
"10368","7035","RUE","PAUL ABADIE",0,"",9999,"","p","Ecole élémentaire 129 RUE BELLIARD - PARIS 18"
"10369","7036","AVENUE","PAUL ADAM",0,"",9999,"","i","Ecole élémentaire 38-40 BOULEVARD DE REIMS - PARIS 17"
"10370","7036","AVENUE","PAUL ADAM",0,"",9999,"","p","Ecole élémentaire 38-40 BOULEVARD DE REIMS - PARIS 17"
"10371","7038","RUE","PAUL ALBERT",0,"",9999,"","i","Ecole élémentaire 61 RUE DE CLIGNANCOURT - PARIS 18"
"10372","7038","RUE","PAUL ALBERT",0,"",9999,"","p","Ecole élémentaire 1 RUE FOYATIER - PARIS 18"
"10373","7040","AVENUE","PAUL APPELL",0,"",9999,"","i","Ecole élémentaire 5 RUE PRISSE D'AVENNES - PARIS 14"
"10374","7040","AVENUE","PAUL APPELL",0,"",6,"","p","Ecole élémentaire 5 RUE PRISSE D'AVENNES - PARIS 14"
"10375","7040","AVENUE","PAUL APPELL",6,"",9999,"","p","Ecole élémentaire 5 RUE PRISSE D'AVENNES - PARIS 14"
"10376","7042","RUE","PAUL BARRUEL",0,"",9999,"","i","Ecole élémentaire B 11 RUE VIGEE LEBRUN - PARIS 15"
"10377","7042","RUE","PAUL BARRUEL",0,"",9999,"","i","Ecole élémentaire A 17 RUE VIGEE LEBRUN - PARIS 15"
"10378","7042","RUE","PAUL BARRUEL",0,"",9999,"","p","Ecole élémentaire 3 RUE CORBON - PARIS 15"
"10379","7044","RUE","PAUL BAUDRY",0,"",9999,"","i","Ecole élémentaire 10 RUE PAUL BAUDRY - PARIS 08"
"10380","7044","RUE","PAUL BAUDRY",0,"",9999,"","p","Ecole élémentaire 10 RUE PAUL BAUDRY - PARIS 08"
"10381","7046","PLACE","PAUL BEAUREGARD",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"10382","7046","PLACE","PAUL BEAUREGARD",0,"",9999,"","p","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"10383","7047","RUE","PAUL BELMONDO",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"10384","7047","RUE","PAUL BELMONDO",0,"",9999,"","p","Ecole élémentaire 4 RUE DE POMMARD - PARIS 12"
"10385","7048","RUE","PAUL BERT",0,"",9999,"","i","Ecole élémentaire 14 RUE TITON - PARIS 11"
"10386","7048","RUE","PAUL BERT",0,"",9999,"","p","Ecole élémentaire 14 RUE TITON - PARIS 11"
"10387","7050","SQUARE","PAUL BLANCHET",0,"",9999,"","i","Ecole élémentaire 253T AVENUE DAUMESNIL - PARIS 12"
"10388","7050","SQUARE","PAUL BLANCHET",0,"",9999,"","i","Ecole élémentaire 83 AVENUE DU GAL MICHEL BIZOT - PARIS 12"
"10389","7050","SQUARE","PAUL BLANCHET",0,"",9999,"","p","Ecole élémentaire 253T AVENUE DAUMESNIL - PARIS 12"
"10390","7050","SQUARE","PAUL BLANCHET",0,"",9999,"","p","Ecole élémentaire 83 AVENUE DU GAL MICHEL BIZOT - PARIS 12"
"10391","7052","RUE","PAUL BODIN",0,"",9999,"","i","Ecole élémentaire 14 RUE BERNARD BUFFET - PARIS 17"
"10392","7052","RUE","PAUL BODIN",0,"",9999,"","i","Ecole élémentaire 1 RUE GILBERT CESBRON - PARIS 17"
"10393","7052","RUE","PAUL BODIN",0,"",9999,"","p","Ecole élémentaire 14 RUE BERNARD BUFFET - PARIS 17"
"10394","7052","RUE","PAUL BODIN",0,"",9999,"","p","Ecole élémentaire 1 RUE GILBERT CESBRON - PARIS 17"
"10395","7054","RUE","PAUL BOREL",0,"",9999,"","i","Ecole élémentaire 20 RUE JOUFFROY D'ABBANS - PARIS 17"
"10396","7054","RUE","PAUL BOREL",0,"",9999,"","p","Ecole élémentaire 20 RUE JOUFFROY D'ABBANS - PARIS 17"
"10397","7055","RUE","PAUL BOURGET",0,"",9999,"","i","Ecole élémentaire 2 PLACE DES 44 ENFANTS D'IZIEU - PARIS 13"
"10398","7055","RUE","PAUL BOURGET",0,"",9999,"","p","Ecole élémentaire 2 PLACE DES 44 ENFANTS D'IZIEU - PARIS 13"
"10399","7056","RUE","PAUL CEZANNE",0,"",9999,"","i","Ecole élémentaire 10 RUE PAUL BAUDRY - PARIS 08"
"10400","7056","RUE","PAUL CEZANNE",0,"",9999,"","p","Ecole élémentaire 10 RUE PAUL BAUDRY - PARIS 08"
"10401","7058","RUE","PAUL CHAUTARD",0,"",9999,"","i","Ecole élémentaire 35 RUE DE L AMIRAL ROUSSIN - PARIS 15"
"10402","7058","RUE","PAUL CHAUTARD",0,"",9999,"","p","Ecole élémentaire 35 RUE DE L AMIRAL ROUSSIN - PARIS 15"
"10403","7059","PLACE","PAUL CLAUDEL",0,"",9999,"","i","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"10404","7059","PLACE","PAUL CLAUDEL",0,"",9999,"","p","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"10405","7060","RUE","PAUL CRAMPEL",0,"",9999,"","i","Ecole élémentaire B 8 AVENUE LAMORICIERE - PARIS 12"
"10406","7060","RUE","PAUL CRAMPEL",0,"",9999,"","i","Ecole élémentaire A 10 AVENUE LAMORICIERE - PARIS 12"
"10407","7060","RUE","PAUL CRAMPEL",0,"",9999,"","p","Ecole élémentaire B 8 AVENUE LAMORICIERE - PARIS 12"
"10408","7060","RUE","PAUL CRAMPEL",0,"",9999,"","p","Ecole élémentaire A 10 AVENUE LAMORICIERE - PARIS 12"
"10409","7063","RUE","PAUL DE KOCK",0,"",9999,"","i","Ecole élémentaire B 59 RUE DE ROMAINVILLE - PARIS 19"
"10410","7063","RUE","PAUL DE KOCK",0,"",9999,"","i","Ecole élémentaire A 57 RUE DE ROMAINVILLE - PARIS 19"
"10411","7063","RUE","PAUL DE KOCK",0,"",9999,"","p","Ecole élémentaire B 59 RUE DE ROMAINVILLE - PARIS 19"
"10412","7063","RUE","PAUL DE KOCK",0,"",9999,"","p","Ecole élémentaire A 57 RUE DE ROMAINVILLE - PARIS 19"
"10413","7066","RUE","PAUL DELAROCHE",0,"",9999,"","i","Ecole élémentaire 8 RUE CHERNOVIZ - PARIS 16"
"10414","7066","RUE","PAUL DELAROCHE",0,"",9999,"","p","Ecole élémentaire 8 RUE CHERNOVIZ - PARIS 16"
"10415","7069","RUE","PAUL DELMET",0,"",9999,"","i","Ecole élémentaire 27 RUE OLIVIER DE SERRES - PARIS 15"
"10416","7069","RUE","PAUL DELMET",0,"",9999,"","p","Ecole élémentaire 27 RUE OLIVIER DE SERRES - PARIS 15"
